,合計,"インプレッション
114,4月24日(金) ,"7,115","¥2,097",291,¥51,4.09%,"¥14,918",0,5,0,0,0,0,,,,,5,"¥2,984","¥1,872","¥1,593",1.72%,,#DIV/0!,0.00%,,13,"¥1,148",4.47%,38.46%,,,,,,
115,4月25日(土) ,"7,691","¥1,687",310,¥42,4.03%,"¥12,973",0,3,0,4,0,1,,,,,8,"¥1,622","¥1,776","¥1,626",2.58%,,#DIV/0!,0.00%,,16,¥811,5.16%,50.00%,,,,,,
116,4月26日(日) ,"9,278","¥1,762",426,¥38,4.59%,"¥16,351",0,9,2,1,0,0,,,,,12,"¥1,363","¥1,770","¥1,575",2.82%,,#DIV/0!,0.00%,,22,¥743,5.16%,54.55%,,,,,,
117,4月27日(月) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
118,4月28日(火) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
119,4月29日(水) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
120,4月30日(木) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
121,5月1日(金) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
122,5月2日(土) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
123,5月3日(日) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
124,5月4日(月) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
125,5月5日(火) ,,,,,,,,,,,,,,,,,0,,,,,,#DIV/0!,0.00%,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
