,,,2024/7,2024/8,2024/9,2024/10,2024/11,2024/12,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9
エンジニアのミカタ,,,"¥619,400","¥619,400","¥333,800","¥127,600","¥333,800","¥184,512","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
エンジニアファースト,,,"¥129,000","¥304,400","¥117,800","¥304,400","¥117,800","¥184,512","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
Neuealle,,,"¥304,400","¥304,400","¥294,600","¥304,400","¥294,600","¥184,512","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
ケンブリッジ・コンサルティング,,,,,,,,"¥178,560","¥184,512","¥166,656","¥184,512","¥178,560","¥184,512","¥178,560","¥184,512",,
カンゲンエージェント,,,,,,,,,,,,"¥130,944","¥184,512","¥178,560","¥184,512",,
オックスフォードパートナーズ,,,,,,,,,,,,"¥142,848","¥184,512","¥178,560","¥184,512",,
AIメタバース,,,,,,,,,,,,,,"¥113,088","¥184,512",,
ITエグゼクティブ,,,,,,,,,,,,,"¥101,184","¥178,560","¥184,512",,
エンジニアキャピタル,,,,,,,,,,,,,,"¥154,752","¥184,512",,
西日本クラウド,,,,,,,,,,,,,,,,,
インフレーション,,,,,,,,,,,,,,,,,
デジタルノマド,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
エンダイレクト,,,,,,,,,,,,,,,,,
総消費額,,,"¥257,296","¥257,296","¥257,296","¥257,296","¥257,297","¥199,237","¥193,099","¥241,642","¥413,536","¥511,837","¥683,603","¥764,882","¥802,683",,
エンジニアのミカタ,,,"¥116,667","¥116,667","¥116,667","¥116,667","¥116,667","¥87,637","¥84,568","¥79,156","¥87,637","¥84,810","¥87,637","¥84,810","¥87,637",,
エンジニアファースト,,,"¥116,667","¥116,667","¥116,667","¥116,667","¥116,667","¥87,637","¥84,568","¥79,156","¥87,637","¥84,810","¥87,637","¥84,810","¥87,637",,
Neuealle,,,"¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥23,963","¥79,950","¥84,810","¥87,637","¥84,810","¥87,637",,
ケンブリッジ・コンサルティング,,,,,,,,,,"¥59,367","¥87,637","¥84,810","¥87,637","¥84,810","¥87,637",,
カンゲンエージェント,,,,,,,,,,,"¥67,848","¥84,810","¥87,637","¥84,810","¥87,637",,
オックスフォードパートナーズ,,,,,,,,,,,"¥2,827","¥84,810","¥87,637","¥84,810","¥87,637",,
AIメタバース,,,,,,,,,,,,"¥2,977","¥92,287","¥89,310","¥92,287",,
ITエグゼクティブ,,,,,,,,,,,,,"¥65,494","¥89,310","¥92,287",,
エンジニアキャピタル,,,,,,,,,,,,,,"¥77,402","¥92,287",,
西日本クラウド,,,,,,,,,,,,,,,,,
インフレーション,,,,,,,,,,,,,,,,,
デジタルノマド,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
エンゲージ,,,,,,,,,,,,,,,,,
総消費額,,,"207,400","56,000",0,0,"102,000","88,400","105,400","85,000",0,"95,200","102,000","102,000","64,600",,
エンジニアのミカタ,,,"207,400","56,000",0,0,"102,000","88,400","105,400","85,000",0,"95,200","102,000","102,000","64,600",,
エンジニアファースト,,,,,,,,,,,,,,,,,
Neuealle,,,,,,,,,,,,,,,,,
ケンブリッジ・コンサルティング,,,,,,,,,,,,,,,,,
カンゲンエージェント,,,,,,,,,,,,,,,,,
オックスフォードパートナーズ,,,,,,,,,,,,,,,,,
AIメタバース,,,,,,,,,,,,,,,,,
ITエグゼクティブ,,,,,,,,,,,,,,,,,
エンジニアキャピタル,,,,,,,,,,,,,,,,,
西日本クラウド,,,,,,,,,,,,,,,,,
インフレーション,,,,,,,,,,,,,,,,,
デジタルノマド,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
doda,,,,,,,,,,,,,,,,,
総消費額,,,¥0,¥0,¥0,¥0,¥0,¥0,"¥433,332","¥433,332","¥541,665","¥758,331","¥974,997","¥4,574,997","¥4,574,997",,
エンジニアのミカタ,,,,,,,,,"¥108,333","¥108,333","¥108,333","¥108,333","¥108,333","¥508,333","¥508,333",,
エンジニアファースト,,,,,,,,,"¥108,333","¥108,333","¥108,333","¥108,333","¥108,333","¥508,333","¥508,333",,
Neuealle,,,,,,,,,"¥108,333","¥108,333","¥108,333","¥108,333","¥108,333","¥508,333","¥508,333",,
ケンブリッジ・コンサルティング,,,,,,,,,"¥108,333","¥108,333","¥108,333","¥108,333","¥108,333","¥508,333","¥508,333",,
カンゲンエージェント,,,,,,,,,,,"¥108,333","¥108,333","¥108,333","¥508,333","¥508,333",,
オックスフォードパートナーズ,,,,,,,,,,,,"¥108,333","¥108,333","¥508,333","¥508,333",,
AIメタバース,,,,,,,,,,,,"¥108,333","¥108,333","¥508,333","¥508,333",,
ITエグゼクティブ,,,,,,,,,,,,,"¥108,333","¥508,333","¥508,333",,
エンジニアキャピタル,,,,,,,,,,,,,"¥108,333","¥508,333","¥508,333",,
,,,,,,,,,,,,,,,,,
マイナビ,,,,,,,,,,,,,,,,,
総消費額,,,"¥812,500","¥812,500","¥812,500","¥812,500","¥812,500","¥812,500","¥1,062,500","¥1,287,500","¥1,627,500","¥1,858,500","¥1,861,500","¥2,317,000","¥2,549,000",,
エンジニアのミカタ,,,"¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥375,000","¥347,500","¥347,500","¥347,500","¥347,500","¥347,500",,
エンジニアファースト,,,"¥262,500","¥262,500","¥262,500","¥262,500","¥262,500","¥262,500","¥262,500","¥262,500","¥347,500","¥347,500","¥347,500","¥347,500","¥347,500",,
Neuealle,,,"¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥275,000","¥347,500","¥347,500","¥347,500","¥347,500","¥347,500",,
ケンブリッジ・コンサルティング,,,,,,,,,"¥250,000","¥125,000","¥460,000","¥231,000","¥213,000","¥231,000","¥213,000",,
カンゲンエージェント,,,,,,,,,,"¥250,000","¥125,000","¥460,000","¥231,000","¥356,000","¥356,000",,
オックスフォードパートナーズ,,,,,,,,,,,,"¥125,000","¥125,000","¥250,000","¥250,000",,
AIメタバース,,,,,,,,,,,,,"¥125,000","¥125,000","¥250,000",,
ITエグゼクティブ,,,,,,,,,,,,,"¥125,000","¥125,000","¥250,000",,
エンジニアキャピタル,,,,,,,,,,,,,,"¥187,500","¥187,500",,
,,,,,,,,,,,,,,,,,
type,,,,,,,,,,,,,,,,,
総消費額,,,"415,179","435,714","709,822","760,268","767,219","910,651","1,023,640","949,039","1,199,531","1,530,426","2,173,423","2,780,060","3,227,470",,
エンジニアのミカタ,,,"207,589","207,589","200,893","220,982","229,592","237,245","241,954","230,769","255,495","262,088","332,143","321,429","332,143",,
エンジニアファースト,,,,"20,536","308,036","318,304","308,036","275,447","207,589","187,500","207,589","200,893","207,589","200,893","207,589",,
Neuealle,,,"207,589","207,589","200,893","220,982","229,592","237,245","241,954","230,769","255,495","262,088","332,143","321,429","332,143",,
ケンブリッジ・コンサルティング,,,,,,,,"160,714","332,143","300,000","332,143","321,429","332,143","321,429","332,143",,
カンゲンエージェント,,,,,,,,,,,"148,810","178,571","184,524","178,571","184,524",,
オックスフォードパートナーズ,,,,,,,,,,,,"305,357","350,595","384,524","701,191",,
AIメタバース,,,,,,,,,,,,,"217,143","407,143","393,571",,
ITエグゼクティブ,,,,,,,,,,,,,"217,143","407,143","393,571",,
エンジニアキャピタル,,,,,,,,,,,,,,"237,500","350,595",,
